Stijn De Saeger:Information Analysis Laboratory, National Institute of Information and Communications Technology, 619-0289 Kyoto, Japan
Chikara Hashimoto:Information Analysis Laboratory, National Institute of Information and Communications Technology, 619-0289 Kyoto, Japan
Kentaro Torisawa:Information Analysis Laboratory, National Institute of Information and Communications Technology, 619-0289 Kyoto, Japan
Masaaki Tsuchida:Information and Media Processing Laboratories, NEC Corporation, 630-0101 Nara, Japan
Jun’ichi Kazama:Information Analysis Laboratory, National Institute of Information and Communications Technology, 619-0289 Kyoto, Japan
Ichiro Yamada:Human & Information Science Research Division, NHK Science & Technology Research Laboratories, 157-8510 Tokyo, Japan
Jong Hoon Oh:Information Analysis Laboratory, National Institute of Information and Communications Technology, 619-0289 Kyoto, Japan
Istvan Varga:Information Analysis Laboratory, National Institute of Information and Communications Technology, 619-0289 Kyoto, Japan
Yulan Yan:Information Analysis Laboratory, National Institute of Information and Communications Technology, 619-0289 Kyoto, Japan

