Q. Huang:Institute of Plasma Physics, Chinese Academy of Sciences, P.O. Box 1126, Hefei, Anhui 230031, China
C. Li:Institute of Plasma Physics, Chinese Academy of Sciences, P.O. Box 1126, Hefei, Anhui 230031, China
Y. Li:Institute of Plasma Physics, Chinese Academy of Sciences, P.O. Box 1126, Hefei, Anhui 230031, China
M. Chen:Institute of Plasma Physics, Chinese Academy of Sciences, P.O. Box 1126, Hefei, Anhui 230031, China
M. Zhang:Institute of Plasma Physics, Chinese Academy of Sciences, P.O. Box 1126, Hefei, Anhui 230031, China
L. Peng:Institute of Plasma Physics, Chinese Academy of Sciences, P.O. Box 1126, Hefei, Anhui 230031, China
Z. Zhu:Institute of Plasma Physics, Chinese Academy of Sciences, P.O. Box 1126, Hefei, Anhui 230031, China
Y. Song:Institute of Plasma Physics, Chinese Academy of Sciences, P.O. Box 1126, Hefei, Anhui 230031, China
S. Gao:Institute of Plasma Physics, Chinese Academy of Sciences, P.O. Box 1126, Hefei, Anhui 230031, China

